dataset,dataset_key,expected_hit_rate_group,observed_prevalence,method,alpha,mean_ausc,std_ausc,final_recall,final_hit_rate,final_alpha,final_roc_auc,final_pr_auc
HIV,hiv,very low,0.0350,random,NA,0.0619,0.0041,0.1095,0.0533,0.0000,0.7271,0.2538
HIV,hiv,very low,0.0350,exploitation,0.00,0.2814,0.0626,0.4595,0.0667,0.0000,0.7386,0.2779
HIV,hiv,very low,0.0350,weighted,0.00,0.2814,0.0626,0.4595,0.0667,0.0000,0.7386,0.2779
HIV,hiv,very low,0.0350,weighted,0.10,0.2814,0.0626,0.4595,0.0667,0.1000,0.7386,0.2779
HIV,hiv,very low,0.0350,weighted,0.25,0.2814,0.0626,0.4595,0.0667,0.2500,0.7386,0.2779
HIV,hiv,very low,0.0350,weighted,0.50,0.2814,0.0626,0.4595,0.0667,0.5000,0.7386,0.2779
HIV,hiv,very low,0.0350,weighted,0.75,0.2755,0.0627,0.4595,0.0800,0.7500,0.7439,0.2708
HIV,hiv,very low,0.0350,weighted,1.00,0.2652,0.0603,0.4524,0.1333,1.0000,0.7488,0.2962
HIV,hiv,very low,0.0350,adaptive,adaptive,0.2737,0.0614,0.4571,0.0267,0.5182,0.7430,0.2796
ClinTox CT_TOX,clintox,low,0.0755,random,NA,0.2477,0.0410,0.4444,0.0533,0.0000,0.7331,0.2225
ClinTox CT_TOX,clintox,low,0.0755,exploitation,0.00,0.5373,0.0377,0.8259,0.0533,0.0000,0.7833,0.2747
ClinTox CT_TOX,clintox,low,0.0755,weighted,0.00,0.5373,0.0377,0.8259,0.0533,0.0000,0.7833,0.2747
ClinTox CT_TOX,clintox,low,0.0755,weighted,0.10,0.5373,0.0377,0.8259,0.0533,0.1000,0.7833,0.2747
ClinTox CT_TOX,clintox,low,0.0755,weighted,0.25,0.5373,0.0377,0.8259,0.0533,0.2500,0.7833,0.2747
ClinTox CT_TOX,clintox,low,0.0755,weighted,0.50,0.5414,0.0429,0.8222,0.0667,0.5000,0.7524,0.2598
ClinTox CT_TOX,clintox,low,0.0755,weighted,0.75,0.5347,0.0357,0.8185,0.0533,0.7500,0.7722,0.2646
ClinTox CT_TOX,clintox,low,0.0755,weighted,1.00,0.5383,0.0355,0.8296,0.0133,1.0000,0.7965,0.2976
ClinTox CT_TOX,clintox,low,0.0755,adaptive,adaptive,0.5336,0.0344,0.8037,0.0400,0.2815,0.7651,0.2690
Tox21 NR-AR,tox21,low-medium,0.0426,random,NA,0.0590,0.0102,0.1216,0.0800,0.0000,0.7849,0.5362
Tox21 NR-AR,tox21,low-medium,0.0426,exploitation,0.00,0.4655,0.0151,0.5588,0.0000,0.0000,0.7857,0.5709
Tox21 NR-AR,tox21,low-medium,0.0426,weighted,0.00,0.4655,0.0151,0.5588,0.0000,0.0000,0.7857,0.5709
Tox21 NR-AR,tox21,low-medium,0.0426,weighted,0.10,0.4655,0.0151,0.5588,0.0000,0.1000,0.7857,0.5709
Tox21 NR-AR,tox21,low-medium,0.0426,weighted,0.25,0.4668,0.0131,0.5608,0.0133,0.2500,0.7856,0.5689
Tox21 NR-AR,tox21,low-medium,0.0426,weighted,0.50,0.4578,0.0115,0.5549,0.0133,0.5000,0.7705,0.5684
Tox21 NR-AR,tox21,low-medium,0.0426,weighted,0.75,0.4096,0.0210,0.5373,0.0533,0.7500,0.7760,0.5634
Tox21 NR-AR,tox21,low-medium,0.0426,weighted,1.00,0.3742,0.0058,0.4902,0.0267,1.0000,0.7686,0.5609
Tox21 NR-AR,tox21,low-medium,0.0426,adaptive,adaptive,0.4273,0.0159,0.5569,0.0267,0.0000,0.7631,0.5634
BACE,bace,medium,0.4567,random,NA,0.2213,0.0046,0.4027,0.4667,0.0000,0.8980,0.8666
BACE,bace,medium,0.4567,exploitation,0.00,0.3600,0.0151,0.6492,0.7333,0.0000,0.8382,0.8322
BACE,bace,medium,0.4567,weighted,0.00,0.3600,0.0151,0.6492,0.7333,0.0000,0.8382,0.8322
BACE,bace,medium,0.4567,weighted,0.10,0.3600,0.0151,0.6492,0.7333,0.1000,0.8382,0.8322
BACE,bace,medium,0.4567,weighted,0.25,0.3610,0.0184,0.6510,0.7467,0.2500,0.8439,0.8502
BACE,bace,medium,0.4567,weighted,0.50,0.3359,0.0012,0.6263,0.5467,0.5000,0.8502,0.8503
BACE,bace,medium,0.4567,weighted,0.75,0.2898,0.0021,0.5359,0.6000,0.7500,0.8944,0.8668
BACE,bace,medium,0.4567,weighted,1.00,0.2573,0.0048,0.4762,0.4133,1.0000,0.8994,0.8650
BACE,bace,medium,0.4567,adaptive,adaptive,0.2936,0.0116,0.5353,0.5733,0.7666,0.8881,0.8752
BBBP,bbbp,high,0.7644,random,NA,0.1723,0.0043,0.3118,0.7467,0.0000,0.8668,0.9459
BBBP,bbbp,high,0.7644,exploitation,0.00,0.2078,0.0003,0.3785,0.9600,0.0000,0.7551,0.9124
BBBP,bbbp,high,0.7644,weighted,0.00,0.2078,0.0003,0.3785,0.9600,0.0000,0.7551,0.9124
BBBP,bbbp,high,0.7644,weighted,0.10,0.2078,0.0003,0.3785,0.9600,0.1000,0.7551,0.9124
BBBP,bbbp,high,0.7644,weighted,0.25,0.2066,0.0011,0.3780,0.9600,0.2500,0.7736,0.9179
BBBP,bbbp,high,0.7644,weighted,0.50,0.1686,0.0072,0.3081,0.8000,0.5000,0.8730,0.9461
BBBP,bbbp,high,0.7644,weighted,0.75,0.1348,0.0085,0.2552,0.6133,0.7500,0.8662,0.9402
BBBP,bbbp,high,0.7644,weighted,1.00,0.1219,0.0075,0.2371,0.7600,1.0000,0.8566,0.9346
