dataset,dataset_key,method,alpha,evaluated,screening_recall,batch_hit_rate,current_alpha
HIV,hiv,random,NA,50,0.0143,0.0400,0.0000
HIV,hiv,random,NA,75,0.0190,0.0267,0.0000
HIV,hiv,random,NA,100,0.0262,0.0400,0.0000
HIV,hiv,random,NA,125,0.0333,0.0400,0.0000
HIV,hiv,random,NA,150,0.0357,0.0133,0.0000
HIV,hiv,random,NA,175,0.0405,0.0267,0.0000
HIV,hiv,random,NA,200,0.0429,0.0133,0.0000
HIV,hiv,random,NA,225,0.0476,0.0267,0.0000
HIV,hiv,random,NA,250,0.0571,0.0533,0.0000
HIV,hiv,random,NA,275,0.0643,0.0400,0.0000
HIV,hiv,random,NA,300,0.0667,0.0133,0.0000
HIV,hiv,random,NA,325,0.0714,0.0267,0.0000
HIV,hiv,random,NA,350,0.0786,0.0400,0.0000
HIV,hiv,random,NA,375,0.0881,0.0533,0.0000
HIV,hiv,random,NA,400,0.0905,0.0133,0.0000
HIV,hiv,random,NA,425,0.0929,0.0133,0.0000
HIV,hiv,random,NA,450,0.0976,0.0267,0.0000
HIV,hiv,random,NA,475,0.1000,0.0133,0.0000
HIV,hiv,random,NA,500,0.1095,0.0533,0.0000
HIV,hiv,exploitation,0.00,50,0.0143,0.0400,0.0000
HIV,hiv,exploitation,0.00,75,0.0405,0.1467,0.0000
HIV,hiv,exploitation,0.00,100,0.0690,0.1600,0.0000
HIV,hiv,exploitation,0.00,125,0.1190,0.2800,0.0000
HIV,hiv,exploitation,0.00,150,0.1643,0.2533,0.0000
HIV,hiv,exploitation,0.00,175,0.2071,0.2400,0.0000
HIV,hiv,exploitation,0.00,200,0.2548,0.2667,0.0000
HIV,hiv,exploitation,0.00,225,0.2762,0.1200,0.0000
HIV,hiv,exploitation,0.00,250,0.2881,0.0667,0.0000
HIV,hiv,exploitation,0.00,275,0.3095,0.1200,0.0000
HIV,hiv,exploitation,0.00,300,0.3286,0.1067,0.0000
HIV,hiv,exploitation,0.00,325,0.3476,0.1067,0.0000
HIV,hiv,exploitation,0.00,350,0.3595,0.0667,0.0000
HIV,hiv,exploitation,0.00,375,0.3786,0.1067,0.0000
HIV,hiv,exploitation,0.00,400,0.3905,0.0667,0.0000
HIV,hiv,exploitation,0.00,425,0.4095,0.1067,0.0000
HIV,hiv,exploitation,0.00,450,0.4381,0.1600,0.0000
HIV,hiv,exploitation,0.00,475,0.4476,0.0533,0.0000
HIV,hiv,exploitation,0.00,500,0.4595,0.0667,0.0000
HIV,hiv,weighted,0.00,50,0.0143,0.0400,0.0000
HIV,hiv,weighted,0.00,75,0.0405,0.1467,0.0000
HIV,hiv,weighted,0.00,100,0.0690,0.1600,0.0000
HIV,hiv,weighted,0.00,125,0.1190,0.2800,0.0000
HIV,hiv,weighted,0.00,150,0.1643,0.2533,0.0000
HIV,hiv,weighted,0.00,175,0.2071,0.2400,0.0000
HIV,hiv,weighted,0.00,200,0.2548,0.2667,0.0000
HIV,hiv,weighted,0.00,225,0.2762,0.1200,0.0000
HIV,hiv,weighted,0.00,250,0.2881,0.0667,0.0000
HIV,hiv,weighted,0.00,275,0.3095,0.1200,0.0000
HIV,hiv,weighted,0.00,300,0.3286,0.1067,0.0000
HIV,hiv,weighted,0.00,325,0.3476,0.1067,0.0000
HIV,hiv,weighted,0.00,350,0.3595,0.0667,0.0000
HIV,hiv,weighted,0.00,375,0.3786,0.1067,0.0000
HIV,hiv,weighted,0.00,400,0.3905,0.0667,0.0000
HIV,hiv,weighted,0.00,425,0.4095,0.1067,0.0000
HIV,hiv,weighted,0.00,450,0.4381,0.1600,0.0000
HIV,hiv,weighted,0.00,475,0.4476,0.0533,0.0000
HIV,hiv,weighted,0.00,500,0.4595,0.0667,0.0000
HIV,hiv,weighted,0.10,50,0.0143,0.0400,0.1000
HIV,hiv,weighted,0.10,75,0.0405,0.1467,0.1000
HIV,hiv,weighted,0.10,100,0.0690,0.1600,0.1000
HIV,hiv,weighted,0.10,125,0.1190,0.2800,0.1000
HIV,hiv,weighted,0.10,150,0.1643,0.2533,0.1000
HIV,hiv,weighted,0.10,175,0.2071,0.2400,0.1000
HIV,hiv,weighted,0.10,200,0.2548,0.2667,0.1000
HIV,hiv,weighted,0.10,225,0.2762,0.1200,0.1000
