dataset,dataset_key,method,alpha,evaluated,screening_recall,batch_hit_rate,current_alpha
HIV,hiv,bandit,bandit,50,0.0143,0.0400,0.0000
HIV,hiv,bandit,bandit,75,0.0405,0.1467,0.1000
HIV,hiv,bandit,bandit,100,0.0690,0.1600,0.2500
HIV,hiv,bandit,bandit,125,0.1190,0.2800,0.5000
HIV,hiv,bandit,bandit,150,0.1643,0.2533,0.7500
HIV,hiv,bandit,bandit,175,0.2071,0.2400,1.0000
HIV,hiv,bandit,bandit,200,0.2548,0.2667,0.6167
HIV,hiv,bandit,bandit,225,0.2810,0.1467,0.5000
HIV,hiv,bandit,bandit,250,0.2881,0.0400,0.4167
HIV,hiv,bandit,bandit,275,0.3048,0.0933,0.5000
HIV,hiv,bandit,bandit,300,0.3190,0.0800,0.5000
HIV,hiv,bandit,bandit,325,0.3333,0.0800,0.3667
HIV,hiv,bandit,bandit,350,0.3619,0.1600,0.2333
HIV,hiv,bandit,bandit,375,0.3738,0.0667,0.5833
HIV,hiv,bandit,bandit,400,0.3833,0.0533,0.5833
HIV,hiv,bandit,bandit,425,0.3857,0.0133,0.5833
HIV,hiv,bandit,bandit,450,0.3905,0.0267,0.3333
HIV,hiv,bandit,bandit,475,0.4024,0.0667,0.1167
HIV,hiv,bandit,bandit,500,0.4214,0.1067,0.6667
ClinTox CT_TOX,clintox,bandit,bandit,50,0.0593,0.1067,0.0000
ClinTox CT_TOX,clintox,bandit,bandit,75,0.1222,0.2267,0.1000
ClinTox CT_TOX,clintox,bandit,bandit,100,0.1852,0.2267,0.2500
ClinTox CT_TOX,clintox,bandit,bandit,125,0.2778,0.3333,0.5000
ClinTox CT_TOX,clintox,bandit,bandit,150,0.3259,0.1733,0.7500
ClinTox CT_TOX,clintox,bandit,bandit,175,0.3889,0.2267,1.0000
ClinTox CT_TOX,clintox,bandit,bandit,200,0.4704,0.2933,0.4167
ClinTox CT_TOX,clintox,bandit,bandit,225,0.5111,0.1467,0.4500
ClinTox CT_TOX,clintox,bandit,bandit,250,0.5519,0.1467,0.5000
ClinTox CT_TOX,clintox,bandit,bandit,275,0.5963,0.1600,0.4500
ClinTox CT_TOX,clintox,bandit,bandit,300,0.6296,0.1200,0.3333
ClinTox CT_TOX,clintox,bandit,bandit,325,0.6556,0.0933,0.5000
ClinTox CT_TOX,clintox,bandit,bandit,350,0.6852,0.1067,0.3667
ClinTox CT_TOX,clintox,bandit,bandit,375,0.7074,0.0800,0.2833
ClinTox CT_TOX,clintox,bandit,bandit,400,0.7222,0.0533,0.6667
ClinTox CT_TOX,clintox,bandit,bandit,425,0.7481,0.0933,0.2833
ClinTox CT_TOX,clintox,bandit,bandit,450,0.7556,0.0267,0.6167
ClinTox CT_TOX,clintox,bandit,bandit,475,0.7963,0.1467,0.5833
ClinTox CT_TOX,clintox,bandit,bandit,500,0.8185,0.0800,0.3333
Tox21 NR-AR,tox21,bandit,bandit,50,0.0098,0.0333,0.0000
Tox21 NR-AR,tox21,bandit,bandit,75,0.1137,0.7067,0.1000
Tox21 NR-AR,tox21,bandit,bandit,100,0.2431,0.8800,0.2500
Tox21 NR-AR,tox21,bandit,bandit,125,0.3765,0.9067,0.5000
Tox21 NR-AR,tox21,bandit,bandit,150,0.4725,0.6533,0.7500
Tox21 NR-AR,tox21,bandit,bandit,175,0.4843,0.0800,1.0000
Tox21 NR-AR,tox21,bandit,bandit,200,0.4980,0.0933,0.1167
Tox21 NR-AR,tox21,bandit,bandit,225,0.5059,0.0533,0.2833
Tox21 NR-AR,tox21,bandit,bandit,250,0.5118,0.0400,0.2500
Tox21 NR-AR,tox21,bandit,bandit,275,0.5196,0.0533,0.2000
Tox21 NR-AR,tox21,bandit,bandit,300,0.5216,0.0133,0.1167
Tox21 NR-AR,tox21,bandit,bandit,325,0.5333,0.0800,0.2833
Tox21 NR-AR,tox21,bandit,bandit,350,0.5412,0.0533,0.2500
Tox21 NR-AR,tox21,bandit,bandit,375,0.5471,0.0400,0.3667
Tox21 NR-AR,tox21,bandit,bandit,400,0.5529,0.0400,0.1500
Tox21 NR-AR,tox21,bandit,bandit,425,0.5569,0.0267,0.3333
Tox21 NR-AR,tox21,bandit,bandit,450,0.5588,0.0133,0.7500
Tox21 NR-AR,tox21,bandit,bandit,475,0.5627,0.0267,0.5000
Tox21 NR-AR,tox21,bandit,bandit,500,0.5667,0.0267,0.3667
BACE,bace,bandit,bandit,50,0.0410,0.4533,0.0000
BACE,bace,bandit,bandit,75,0.0784,0.8267,0.1000
BACE,bace,bandit,bandit,100,0.1157,0.8267,0.2500
BACE,bace,bandit,bandit,125,0.1543,0.8533,0.5000
BACE,bace,bandit,bandit,150,0.1887,0.7600,0.7500
BACE,bace,bandit,bandit,175,0.2200,0.6933,1.0000
BACE,bace,bandit,bandit,200,0.2483,0.6267,0.1167
BACE,bace,bandit,bandit,225,0.2881,0.8800,0.2500
BACE,bace,bandit,bandit,250,0.3249,0.8133,0.1167
BACE,bace,bandit,bandit,275,0.3635,0.8533,0.2000
BACE,bace,bandit,bandit,300,0.4014,0.8400,0.1667
BACE,bace,bandit,bandit,325,0.4328,0.6933,0.7500
BACE,bace,bandit,bandit,350,0.4678,0.7733,0.3667
BACE,bace,bandit,bandit,375,0.5033,0.7867,0.3333
BACE,bace,bandit,bandit,400,0.5353,0.7067,0.5833
BACE,bace,bandit,bandit,425,0.5660,0.6800,0.0833
BACE,bace,bandit,bandit,450,0.5961,0.6667,0.4000
BACE,bace,bandit,bandit,475,0.6251,0.6400,0.5333
BACE,bace,bandit,bandit,500,0.6624,0.8267,0.2833
BBBP,bbbp,bandit,bandit,50,0.0335,0.8400,0.0000
BBBP,bbbp,bandit,bandit,75,0.0532,0.9867,0.1000
BBBP,bbbp,bandit,bandit,100,0.0731,1.0000,0.2500
BBBP,bbbp,bandit,bandit,125,0.0925,0.9733,0.5000
BBBP,bbbp,bandit,bandit,150,0.1085,0.8000,0.7500
BBBP,bbbp,bandit,bandit,175,0.1199,0.5733,1.0000
BBBP,bbbp,bandit,bandit,200,0.1287,0.4400,0.0333
BBBP,bbbp,bandit,bandit,225,0.1486,1.0000,0.1500
BBBP,bbbp,bandit,bandit,250,0.1680,0.9733,0.1667
BBBP,bbbp,bandit,bandit,275,0.1877,0.9867,0.0333
BBBP,bbbp,bandit,bandit,300,0.2073,0.9867,0.0667
BBBP,bbbp,bandit,bandit,325,0.2267,0.9733,0.4167
BBBP,bbbp,bandit,bandit,350,0.2430,0.8133,0.5000
BBBP,bbbp,bandit,bandit,375,0.2576,0.7333,0.0833
BBBP,bbbp,bandit,bandit,400,0.2767,0.9600,0.0667
BBBP,bbbp,bandit,bandit,425,0.2953,0.9333,0.3667
BBBP,bbbp,bandit,bandit,450,0.3121,0.8400,0.0833
BBBP,bbbp,bandit,bandit,475,0.3309,0.9467,0.1167
BBBP,bbbp,bandit,bandit,500,0.3503,0.9733,0.2000
