dataset,dataset_key,method,alpha,evaluated,screening_recall,batch_hit_rate,current_alpha
HIV,hiv,cluster_bandit,cluster_bandit,50,0.0143,0.0400,0.0000
HIV,hiv,cluster_bandit,cluster_bandit,75,0.0405,0.1467,0.1000
HIV,hiv,cluster_bandit,cluster_bandit,100,0.0714,0.1733,0.2500
HIV,hiv,cluster_bandit,cluster_bandit,125,0.1000,0.1600,0.5000
HIV,hiv,cluster_bandit,cluster_bandit,150,0.1357,0.2000,0.7500
HIV,hiv,cluster_bandit,cluster_bandit,175,0.1667,0.1733,1.0000
HIV,hiv,cluster_bandit,cluster_bandit,200,0.1929,0.1467,0.2000
HIV,hiv,cluster_bandit,cluster_bandit,225,0.2310,0.2133,0.5000
HIV,hiv,cluster_bandit,cluster_bandit,250,0.2643,0.1867,0.3333
HIV,hiv,cluster_bandit,cluster_bandit,275,0.3048,0.2267,0.8333
HIV,hiv,cluster_bandit,cluster_bandit,300,0.3286,0.1333,0.3333
HIV,hiv,cluster_bandit,cluster_bandit,325,0.3524,0.1333,0.4000
HIV,hiv,cluster_bandit,cluster_bandit,350,0.3810,0.1600,0.6667
HIV,hiv,cluster_bandit,cluster_bandit,375,0.3905,0.0533,0.5833
HIV,hiv,cluster_bandit,cluster_bandit,400,0.4000,0.0533,0.0333
HIV,hiv,cluster_bandit,cluster_bandit,425,0.4071,0.0400,0.2500
HIV,hiv,cluster_bandit,cluster_bandit,450,0.4190,0.0667,0.3167
HIV,hiv,cluster_bandit,cluster_bandit,475,0.4333,0.0800,0.7500
HIV,hiv,cluster_bandit,cluster_bandit,500,0.4476,0.0800,0.5000
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,50,0.0593,0.1067,0.0000
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,75,0.1074,0.1733,0.1000
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,100,0.1778,0.2533,0.2500
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,125,0.2296,0.1867,0.5000
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,150,0.2593,0.1067,0.7500
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,175,0.3148,0.2000,1.0000
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,200,0.3815,0.2400,0.6667
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,225,0.4259,0.1600,0.1500
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,250,0.4926,0.2400,0.5333
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,275,0.5444,0.1867,0.4167
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,300,0.5852,0.1467,0.5833
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,325,0.6481,0.2267,0.5000
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,350,0.6815,0.1200,0.0333
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,375,0.6926,0.0400,0.2333
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,400,0.7111,0.0667,0.4167
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,425,0.7370,0.0933,0.7500
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,450,0.7444,0.0267,0.6667
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,475,0.7667,0.0800,0.5000
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,500,0.7852,0.0667,0.3667
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,50,0.0098,0.0333,0.0000
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,75,0.0941,0.5733,0.1000
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,100,0.2196,0.8533,0.2500
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,125,0.3373,0.8000,0.5000
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,150,0.4137,0.5200,0.7500
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,175,0.4549,0.2800,1.0000
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,200,0.4706,0.1067,0.1000
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,225,0.5020,0.2133,0.2500
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,250,0.5098,0.0533,0.0333
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,275,0.5196,0.0667,0.5000
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,300,0.5255,0.0400,0.3167
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,325,0.5314,0.0400,0.3333
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,350,0.5392,0.0533,0.1667
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,375,0.5412,0.0133,0.2833
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,400,0.5412,0.0000,0.6667
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,425,0.5431,0.0133,0.4500
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,450,0.5490,0.0400,0.4500
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,475,0.5490,0.0000,0.5000
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,500,0.5529,0.0267,0.2833
BACE,bace,cluster_bandit,cluster_bandit,50,0.0410,0.4533,0.0000
BACE,bace,cluster_bandit,cluster_bandit,75,0.0784,0.8267,0.1000
BACE,bace,cluster_bandit,cluster_bandit,100,0.1181,0.8800,0.2500
BACE,bace,cluster_bandit,cluster_bandit,125,0.1549,0.8133,0.5000
BACE,bace,cluster_bandit,cluster_bandit,150,0.1875,0.7200,0.7500
